Job_Title,Total_monetary_compensation
"Compliance and Risk",287600
"Senior Quality Technician",51000
"Content Developer and Coordinator",135000
"Content marketing specialist",285753
"Consulting Arborist",133497
"Corporate Recruiter",125091
"Creative Director",1511608
"Customer Experience Operations Manager",132497
"Customer Relations Clerk/Accounts Receivable Clerk",58497
"Assistant Director, Direct Marketing",78750
"Digital Engagement Coordinator",67497
"Digital Strategy Manager",402491
"Manager (Technical Writing)",174000
"Director of Finance and Operations",525130
"Associate IRB Chair",84497
"Deployment Project Manager",69636
"Director of Performance Marketing",177000
"Director of Product Marketing ",183497
"Director of Technical Services",248497
"Distance Learning Specialist",77497
"EIT/Graduate Engineer",68497
Biostatistician,476188
"Engagement Manager",1580985
"Engineer Manager",201997
"Engineering Manager",7159991
"Engineering Product Owner",158497
"Registration and Enrollment of Childcare Programs/Employees",16697
"Clinical manager",202000
"Executive Producer ",95497
"Facilities Technician",81168
"Field Marketing Manager ",171600
"Finance Assistant",315144
"Clinical Research Coordinator",486322
"Financial Analyst Senior",88497
"Full Stack Engineer",441994
"Husbandry Technician II",54497
"Grants Manager",1745708
"Grants Specialist",145794
"Clinical Research Coordinator II",103013
"Head of Content Marketing",126540
"Head of People Ops",240000
"HR Diversity Manager",68497
"Incident Responder",147497
"Clinical Research Manager",259577
"Interior Horticultural Technician ",46497
"Firm Administrator",184500
"IT Program Director",184000
"Learning Solutions Specialist",51672
"learning specialist",309991
"Manager of technology resources",87497
"Head Librarian",398385
"Manager, Program Management",140000
"Manager, Technical Support",77000
"Managing Partner",462497
"Manufacturing Quality Supervisor",78000
"Marketing Operations Manager",570491
Mathematician,152497
"Complex Care Manager",81497
"Middle School Teacher ",302991
Nanny,160497
"Operations Analyst",1096977
"Information Security Engineer",324497
"Operations Engineer",234497
"Paralegal (Sr)",71000
"Corporate Manager",143000
"Researcher III",102594
"Preconstruction Manager ",124700
"Principal Software Engineer",3551885
"Product Designer",1797995
"Director, Data Analytics",177500
"Product Marketing Manager",1532385
"Product Marketing Senior Advisor",127000
"Product Owner: Data, Reporting, and Analytics",127550
"Professional Administrator",78497
"Programmatic Supervisor",93497
"Research Scientist I",253000
"Night auditor",125607
Novelist,123497
Prosecutor,183994
"QE Manager",123497
"Receptionist ",163475
"Drug policy clinical coordinator",136497
"PhD Candidate",557464
"Facility Manager",282491
"Editorial Assistant",389022
"Infection Preventionist",111000
"Senior project manager ",1099991
"Scheduling Coordinator",56000
"Inside Sales and Sales support",62000
"Security Compliance Lead",113497
"Senior Academic Program Coordinator",61497
"Senior Account Supervisor",176200
"Senior Accountant",2606650
"Senior Administrative Assistant ",261659
"Senior Client Consultation Associate",68000
"Senior Demand Generation Specialist",94000
"Senior Director of HR",135000
"Senior Global Content Strategist",102000
"Senior Manufacturing Engineer",387300
"Senior project engineer",611657
"Senior Quality Engineer",271997
"Technical writer II",330997
"Senior Support Engineer",400607
"Insurance Producer",38408
"Senior User Experience (UX) Designer",167000
Instructor,1518716
"Software Engineer Technical Support",24197
"Software Support Engineer",79497
"Actuary ",75497
"Staff Technical Writer",175000
Intern,316142
"Tax Office Admin",59197
"Paid Social Marketing Manager ",99497
"Teacher ",1245081
"QA Specialist- Compliance and Quality",86497
"Senior Admin",28200
"Tech Writer/Compliance Analyst",108497
"Manager, Digital Content",88700
Chemist,824424
"Test engineer",746785
"Vendor Manager",75000
"Video Content Producer",67000
"VP HR",532500
"Senior Scientist and Program Manager",170000
"Head of Customer Success",196497
"Senior Operations Associate",210224
"Director of Marketing and Communications",380988
"Software Developer I",331737
"Technical Support Specialist",275963
Writer,826068
"Housing Grant Consultant",70000
"Library Manager",677283
Instructor/NTT-Faculty,49000
"Purchaser IV",52204
"Quality Assurance Manager",661491
"Records Management Officer",199994
"Research Specialist ",141994
"Special Projects Coordinator III",91997
"Staff Attorney III",63513
"Tax Examiner",58497
"Technical Specialist",299997
"Managing Librarian",160897
"Program Specialist IV",72497
"Marketing and Sales Assistant",48497
"Program Coordinator ",763373
PA,179797
"Appeal Adjudicator",50560
"Client Manager",413194
"Lead Instructional writer",85497
"Captioning Coordinator",52626
"DevOps Engineer",2338742
"Content Marketer",200597
"Customer Service Representative",1315114
"Patient Coordinator",66497
"Director of Mission Advancement Operations",88497
"Assistant General Counsel",312497
"RFIC Design Engineer",115000
"Principal Site Reliability Developer ",239000
"Senior Data Analyst",2003622
"Appeal Platforms Engineer",153497
"Senior Community Manager",262335
"Patient Services Coordinator II",57822
"Senior Financial Analyst",2936524
"Sr. Software Architect",163497
"Software Engineering Manager",1276991
"Leasing Operations",47100
"Technical Recruiter",309897
"System Administrator",883750
"Tax Staff",63497
"Technical Development Research Associate",103000
"Technical Writer",4704198
"Program Specialist III",55497
"Vice President of Program",203497
"Digital Asset Manager ",63000
"Executive Director ",1579921
"Senior Manager ",869994
"Staff industrial engineer ",142500
"Contracts Manager ",236000
"Sr. Research Associate",122000
"Para Educator",136491
"Senior Solicitor",216723
"Licensed Practical Nurse",274491
"Controller ",1009863
"Site Engineer (Grad)",96000
"Population Health Supervisor",88297
"Software Developer (junior)",78497
"Chief Metallurgist",155000
"Principal Scientist",763497
"Reference Librarian",1015580
"Senior Deputy City Attorney",138497
"Software Test Lead",155000
"SEM Specialist",63497
"Associate General Counsel",865176
"Access Services Manager",65497
"Adjuster and Analyst",76000
"Assistant Dean",479927
"Assistant Managing Editor",312191
"Assistant Program Manager",69497
"Assistant Registrar for Catalog",66497
"Assistant Scientist",169297
"Program Administrator ",237494
"Attorney Advisor ",138497
"Catalog/Transfer Evaluation Coordinator",68497
Compensation,59497
"Production Controller",55497
Coordinator,2205907
"Cybersecurity Researcher",175000
"Digital Content Producer",206794
"Dean of University Libraries",183497
"Developmental Editor",149972
"Director of Annual Giving and Grants",85497
"Director of College Counseling",193994
"Director, Deputy Chief Conflict of Interest Officer, Assistant Professor",153497
"Director of Marketing",2860467
"EEO Officer ",116997
"Executive Administrative Assistant",322633
"General Counsel",665497
"Information Systems and Technology Specialist",72497
"IT Manager",3870128
"IT Support Tech II",61260
"Lab Manager",871253
"Label editor",77497
"LCSW-C/Mental Health Clinician",78497
"Lead Functional Analyst ",92670
"Learning Coordinator",72497
"Growth Manager",133497
Psychologist,1122476
"Library Media Specialist",391128
"Logistics Coordinator",528645
"Manager Operations",313497
"Marketing Coordinator for a General Contractor",65000
"Psychologist ",192997
Receptionist,681532
"Multimedia Producer",141594
"New Program Development Manager",96497
"Operations Administrator and Executive Assistant",69497
Planner,1175327
"Plant Accountant",89000
"Program Monitor",74497
"Regulatory Manager ",102497
"Environmental Field Scientist",45480
"Regional Safety Manager",140000
"Research and Instruction Librarian",207261
Partner,1942188
"Payroll Specialist",39460
"Revenue Cycle Sr. Associate",91700
"Senior Account Manager",1134510
"Senior Content Manager",328991
"Regulatory Operations Associate",96250
"Senior digital project manager",96500
"Staff attorney - nonprofit ",63497
"System Security Officer (SSO)",151500
"Teacher and Department Chair",57000
"Technical Program Manager",2043802
"Registered operations specialist",59000
"Technical Services Team Lead",64000
"Transportation Planner",353991
"Urban Forester",63497
"User Services Librarian",63497
"Veterinary Technician",268988
"Wellbeing Coach",57497
"Zoo Keeper",134314
"Regulatory Manager",314497
"Implementation Consultant",419662
"Software Architect",1218479
"Administrator IV",89000
"Document Specialist",61100
"Environmental Compliance ",60497
"Environmental Specialist",676235
"Health Policy Analyst Advanced",85455
"Program Analyst",2049739
"Business Specialist",65497
"Claims Processor II",99098
"Email Marketing Manager",1348085
"Financial and Accounting Analyst ",86000
"Sr. Contracts Manager",173497
"Health Insurance Specialist",103497
Photographer,185231
"Director of Programming",1140416
"Business Analyst",8645693
"Social Worker ",502246
Technician,418343
"Assistant Director of Development ",150994
"Communications associate ",81497
"Copy Manager ",158497
"Principal Data Science Manager",166800
"Principal Consultant ",463497
"Senior Manager, Statistics",205000
"Sales Account Executive ",85497
"Social Security benefits counselor ",96997
"Customer Service Representative ",258103
"Senior Project Coordinator",169994
"Director HR",367550
"Senior Financial Receivables Coordinator ",57988
"Software Trainer",155897
"Senior Assistant Director",66497
"Software Product Manager",110000
"Assistant Director Public Relations",63997
"Para Educator ",52297
"Preschool Center aid",35497
"Consumer Banking Relationship Manager",63497
"Direct Support Professional ",41577
"Director of Institutional Research",173494
"Payroll Specialist ",224990
"Project Scientist",191994
"Staff Assistant III",45860
"Marketing Automation Analyst",19997
"Clinical Laboratory Scientist",211497
"Student Services",67500
"Supply Change Business Analyst",126315
"Clinical Trial Set Up Manager",79634
"Visitor Services and Volunteer Coordinator",74497
"Program Officer",1721931
"Financial Manager",372500
"Media Coordinator",68697
"Member Services",68497
"Early childhood educator",114994
"Web Coordinator",78497
"Legal Secretary",998747
"Registered Psychologist",103497
"Office/Payroll Officer",64097
"Occupational Hygienist",100000
"Biosafety Officer/Medical Lab Scientist",115000
"Treasury Management Specialist",39700
"Wholesale Operations Manager",73497
"Community Development Planner",85497
"Events and Fundraising Coordinator",78497
"Business design consultant",142000
"Credentialing Coordinator",204594
"Technology Team Leader",104497
"Senior Environmental Advisor",148497
"IRB Analyst II",75497
Geophysicist,177900
"Client Executive",127000
"IT Asset Management and Procurement Coordinator",63500
"Attorney and regulatory compliance director",97500
Secretary,306326
"Senior Designer",518391
"Director of Happenings",48997
"Formulation Specialist",135550
"Deputy Director of Planning/GIS Coordinator",73162
"Senior Manager, Sales Operations",322497
"Senior Sustainability Analyst",115000
"Assistant District Attorney",742282
"Associate Director of Recruitment and Engagement",81297
"Billing Specialist",267131
"Clinical Operations Manager - oncology ",143000
"Clinical Pharmacist ",433994
Electrician,122514
"Employee Relations Advisor",152994
"Sales Analytics Manager",73000
"Business Office Coordinator",54497
"Director, Program Planning and Development",108497
"IT Support Specialist",229994
"Internal Auditor",670907
"Enginneer VI",109759
"Managing Editor",2712920
"Corporate Human Resources Director ",132057
"Helpdesk Lead",83497
"Aircraft Maintenance Technician",57080
"Global Product Manager",237250
"Testing Center Coordinator",58497
"Restaurant Manager",322991
"Admissions and Financial Aid Counselor",65000
