Overall_Experience,Job_Title,Total_compensation
"11 - 20 years","Assistant Professor of Communication",77135
"11 - 20 years","Assistant Professor of Education",135994
"11 - 20 years","Assistant Professor of History",83497
"11 - 20 years","Assistant Professor of Instruction",79497
"11 - 20 years","Assistant Professor of Music",40000
"11 - 20 years","Assistant Professor, NTT",86497
"11 - 20 years","Assistant Professor/Director of Cataloging and Metadata Services",77497
"11 - 20 years","Assistant Program Director",72500
"11 - 20 years","Assistant Project Engineer ",114069
"11 - 20 years","Assistant Project Manager",104900
"11 - 20 years","Assistant public defender",83497
"11 - 20 years","Assistant Public Defender ",93497
"11 - 20 years","Assistant Public Defender II",115997
"11 - 20 years","Assistant Registrar",70997
"11 - 20 years","Assistant Registrar for Academic Services",90497
"11 - 20 years","Assistant Residential Dean",48497
"11 - 20 years","Assistant Retail Manager",41600
"11 - 20 years","Assistant Sales Manager",70000
"11 - 20 years","Assistant Secretary ",27800
"11 - 20 years","Assistant SEO Manager",77000
"11 - 20 years","Assistant Service Manager",223497
"11 - 20 years","Assistant Shift Manager",50937
"11 - 20 years","Assistant Statistician",46673
"11 - 20 years","Assistant Store Manager",73497
"11 - 20 years","Assistant Supervisor",59897
"11 - 20 years","Assistant Teaching Professor",137119
"11 - 20 years","Assistant Teaching Professor ",70197
"11 - 20 years","Assistant Theatre Manager",43497
"11 - 20 years","Assistant to Members",74497
"11 - 20 years","Assistant to the Manager",93497
"11 - 20 years","Assistant United States Attorney",122000
"11 - 20 years","Assistant Vice President",594500
"11 - 20 years","Assistant Vice President ",310000
"11 - 20 years","Assistant Vice President of Enrollment",108497
"11 - 20 years","Assistant Video Editor",91497
"11 - 20 years","Assistant VP planning",100497
"11 - 20 years","Assistant VP/Claims Manager",114000
"11 - 20 years",Associate,846988
"11 - 20 years","Associate Account Director",116000
"11 - 20 years","Associate Account Executive ",76000
"11 - 20 years","Associate Archivist",88497
"11 - 20 years","Associate Art Director",91497
"11 - 20 years","Associate Attorney",1887482
"11 - 20 years","Associate Brand Manager",129000
"11 - 20 years","Associate Consultant",388497
"11 - 20 years","Associate Counsel",163497
"11 - 20 years","Associate Creative Director",211994
"11 - 20 years","Associate Creative Director ",70000
"11 - 20 years","Associate Creative Director (freelance)",157000
"11 - 20 years","Associate Development Director",103514
"11 - 20 years","Associate Director",2851517
"11 - 20 years","Associate Director ",757691
"11 - 20 years","Associate Director - Operations",138000
"11 - 20 years","Associate Director Analytics",75497
"11 - 20 years","Associate Director Development",160000
"11 - 20 years","Associate Director HR",108497
"11 - 20 years","Associate Director of Accounting",113300
"11 - 20 years","Associate Director of Admission",159994
"11 - 20 years","Associate Director of Admissions",214497
"11 - 20 years","Associate Director of Advancement",88497
"11 - 20 years","Associate Director of Alumni Relations",103497
"11 - 20 years","Associate Director of Annual Giving",82497
"11 - 20 years","Associate Director of Culture and Entertainment",123497
"11 - 20 years","Associate Director of Customer Service",60497
"11 - 20 years","Associate Director of Design Services",80497
"11 - 20 years","Associate Director of Development",352491
"11 - 20 years","Associate Director of Development Services",93661
"11 - 20 years","Associate Director of Donor Relations",173994
"11 - 20 years","Associate Director of Financial Aid",103497
"11 - 20 years","Associate Director of Guest Services",78497
"11 - 20 years","Associate Director of HoU.Sing Operations",98497
"11 - 20 years","Associate Director of Human Resources",76897
"11 - 20 years","Associate Director of Marketing",113900
"11 - 20 years","Associate Director of Membership and Events",43000
"11 - 20 years","Associate Director of Operations",174106
"11 - 20 years","Associate Director of Philanthropy Operations",128497
"11 - 20 years","Associate Director of Recruitment and Engagement",81297
"11 - 20 years","Associate Director of Resource Development",85997
"11 - 20 years","Associate Director of Supply Chain",130000
"11 - 20 years","Associate Director of Training ",173497
"11 - 20 years","Associate Director of Youth Services",64497
"11 - 20 years","Associate Director Project Management",200000
"11 - 20 years","Associate Director Regulatory Affairs",165000
"11 - 20 years","Associate Director, Annual Giving",95901
"11 - 20 years","Associate Director, Arts Library",99497
"11 - 20 years","Associate Director, Communications",170500
"11 - 20 years","Associate Director, DEI",88497
"11 - 20 years","Associate Director, EEO",103497
"11 - 20 years","Associate Director, Executive Communications ",88497
"11 - 20 years","Associate Director, Financial Aid",66240
"11 - 20 years","Associate Director, Graduate and Postdoctoral Affairs",92000
"11 - 20 years","Associate Director, Grants and Scientific Programs",108497
"11 - 20 years","Associate Director, HR",150497
"11 - 20 years","Associate Director, Individual Giving",113497
"11 - 20 years","Associate Director, Inside Sales",175000
"11 - 20 years","Associate Director, Insights",90497
"11 - 20 years","Associate Director, Marketing",425997
"11 - 20 years","Associate Director, Medical Affairs",189500
"11 - 20 years","Associate Director, Medical Communications",193000
"11 - 20 years","Associate Director, Office of Engagement",81497
"11 - 20 years","Associate Director, Office of Sponsored Programs",121497
"11 - 20 years","Associate Director, Procure-to-Pay Technology ",107000
"11 - 20 years","Associate Director, Production Design",70497
"11 - 20 years","Associate Director, Talent Acquisition",128800
"11 - 20 years","Associate Director, University Career Center",83497
"11 - 20 years","Associate Director/Program Officer",83000
"11 - 20 years","Associate Editor",51500
"11 - 20 years","Associate Executive ",93497
"11 - 20 years","Associate Executive Director",189494
"11 - 20 years","Associate Financial Planner",65000
"11 - 20 years","Associate General Counsel",144497
"11 - 20 years","Associate General Manager",85497
"11 - 20 years","Associate Head: School of Sciences",128400
"11 - 20 years","Associate IRB Chair",84497
"11 - 20 years","Associate lawyer",153497
"11 - 20 years","Associate Librarian",454550
"11 - 20 years","Associate Magazine Editor",57000
"11 - 20 years","Associate Manager",77490
"11 - 20 years","Associate Manager Original Series Development",135000
"11 - 20 years","Associate Managing Editor",113250
"11 - 20 years","Associate Merchant",69400
"11 - 20 years","Associate Policy Principle",117997
"11 - 20 years","Associate Principal ",98000
"11 - 20 years","Associate Principal Scientist Lead",160000
"11 - 20 years","Associate Product Manager",102497
"11 - 20 years","Associate Professor",2715313
"11 - 20 years","Associate professor ",309991
"11 - 20 years","Associate Professor / Department Chair",95000
"11 - 20 years","Associate Professor of English",64000
"11 - 20 years","Associate Professor of Instruction",94697
"11 - 20 years","Associate Professor of Management",165200
"11 - 20 years","Associate Professor of Political Science",104497
"11 - 20 years","Associate Project Manager",91122
"11 - 20 years","Associate Publicity DIrector",97000
"11 - 20 years","Associate Registrar",260491
"11 - 20 years","Associate Research Professor",120000
"11 - 20 years","Associate Research Scientist",118497
"11 - 20 years","Associate Safety Officer",124497
"11 - 20 years","Associate Scientist IV",116497
"11 - 20 years","Associate Software Engineer",173168
"11 - 20 years","Associate Strategy Director",133497
"11 - 20 years","Associate Systems Engineer",95000
"11 - 20 years","Associate teaching professor ",114497
"11 - 20 years","Associate Team Lead - Revenue Cycle",4452
"11 - 20 years","Associate Technology 2",96388
"11 - 20 years","Associate Vice Chancellor",143497
"11 - 20 years","Associate, Client Finance",41100
"11 - 20 years","Associste professor and department chair",57500
"11 - 20 years","Assoicate Library Director",114497
"11 - 20 years","Asylum Officer",102877
"11 - 20 years",Attache,64097
"11 - 20 years",Attorney,3112496
"11 - 20 years","Attorney ",1099208
"11 - 20 years","Attorney 2",84691
"11 - 20 years","Attorney Advisor",339268
"11 - 20 years","Attorney and regulatory compliance director",97500
"11 - 20 years","Attorney editor",62500
"11 - 20 years","Attorney Recruiting Manager",140000
"11 - 20 years",Attorney-Advisor,137976
"11 - 20 years","Audio Systems Engineer",181500
"11 - 20 years",Audiologist,110105
"11 - 20 years","Audiovisual Design Associate",98497
"11 - 20 years",Audit,22000
"11 - 20 years","Audit Associate",83497
"11 - 20 years","Audit Consultant ",172000
"11 - 20 years","Audit Manager",120097
"11 - 20 years","Audit Senior Manager",398497
"11 - 20 years",Auditor,441438
"11 - 20 years","Automation Applications Engineer",102000
"11 - 20 years","Automotive Enthusiast Advisor",41800
"11 - 20 years","Aviation Security Officer",74753
"11 - 20 years","Avionics Engineer III",149497
"11 - 20 years","Avionics Systems Technician - supervisor ",100000
"11 - 20 years","AVP of Marketing",148000
"11 - 20 years","AVP of Software Development",150000
"11 - 20 years","AVP, Marketing Associate",108000
"11 - 20 years","Backend Elixir Engineer",133497
"11 - 20 years",Baker,68850
"11 - 20 years","Bank Examiner",156000
"11 - 20 years","Bank supervisor",43000
"11 - 20 years","Bar Director",97000
"11 - 20 years",Barrister,147217
"11 - 20 years",Bartender,83497
"11 - 20 years","Beauty Advisor",35497
"11 - 20 years","Beauty Consultant",38947
"11 - 20 years","Behavior Analyst ",149497
"11 - 20 years","Behavior Services Supervisor",67500
"11 - 20 years","Behavior Specialist",94180
"11 - 20 years","Behavioral Health Case Manager",95000
"11 - 20 years","Behavioral Health Manager",102000
"11 - 20 years","Behavioral Health Supervisor",72500
"11 - 20 years","Behavioral health therapist",92537
"11 - 20 years","Behavioral Health Therapist ",77497
"11 - 20 years","Benefit payments representative",45677
"11 - 20 years","Benefit Technology Analyst",57000
"11 - 20 years","Benefits Administrator",99497
"11 - 20 years","Benefits and Compensation Manager",83000
"11 - 20 years","Benefits Consultant ",103497
"11 - 20 years","Benefits Manager",178338
"11 - 20 years","Benefits Manager HR",85497
"11 - 20 years","Benefits Specialist",71841
"11 - 20 years","Benefits Specialist ",65497
"11 - 20 years","BI Analyst",194794
"11 - 20 years","Bicycle mechanic",39000
"11 - 20 years","Bicycle mechanic/Ski technician ",51041
"11 - 20 years","Bike Mechanic",30000
"11 - 20 years","Bilingual Office Assistant",56532
"11 - 20 years",Biller,46777
"11 - 20 years","Billing Manager",264000
"11 - 20 years","Billing Manager ",68500
"11 - 20 years","Billing Specialist",124297
"11 - 20 years","Billing specialist ",63497
"11 - 20 years","Billing Supervisor",76500
"11 - 20 years","Billing Team Lead",50497
"11 - 20 years","Billing trainer",62460
"11 - 20 years",Bioinformatician,61997
"11 - 20 years",Biologist,295121
"11 - 20 years","Biologist ",123997
"11 - 20 years","Biomedical Equipment Technician Senior",80000
"11 - 20 years","Biosafety Officer/Medical Lab Scientist",115000
"11 - 20 years","Board Certified Behavior Analyst",88497
"11 - 20 years","Board Liaison",103497
"11 - 20 years","Book Shelver",48497
"11 - 20 years",Bookkeeper,182840
"11 - 20 years","Bookkeeper and Payroll Specialist",117497
"11 - 20 years","Bookkeeper/Billing Manager",52000
"11 - 20 years","Bookseller ",36000
"11 - 20 years","Bookstore manager ",59257
"11 - 20 years","Box Office Manager",136994
"11 - 20 years","Box Office Supervisor",33497
"11 - 20 years","Branch Chief ",127000
"11 - 20 years","Branch Library Manager",71497
"11 - 20 years","Branch Manager",962699
"11 - 20 years","Branch Youth Services Library",75497
"11 - 20 years","Brand and campaigns officer",82400
"11 - 20 years","Brand and Digital Specialist",90000
